summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,violation_in_front_of_or,house_number,street_name,date_first_observed,law_section,sub_division,days_parking_in_effect,vehicle_color,vehicle_year,feet_from_curb,violation_post_code,violation_description,intersecting_street,from_hours_in_effect,to_hours_in_effect,unregistered_vehicle,meter_number,violation_legal_code,time_first_observed
4852952838,LAU4051,NY,PAS,2023-07-20T00:00:00.000,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0653A,BK,,,WB NEPTUNE AVE @ W 2,0,1180,B,,BK,2015,0,,PHTO SCHOOL ZN SPEED VIOLATION,0TH ST,,,,,T,
4849469735,JBB4365,NY,PAS,2023-07-04T00:00:00.000,36,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,1226P,BK,,,SB SHORE RD @ 97TH S,0,1180,B,,GY,2007,0,,PHTO SCHOOL ZN SPEED VIOLATION,T,,,,,T,
9053083110,IGGG09,FL,PAS,2023-07-06T00:00:00.000,21,2DSD,HONDA,T,15140,20390,20590,20230788,112,112,112,356551,T402,A,0843A,Q,F,110-33,72nd Ave,0,408,D1,Y,BLACK,0,0,1,21-No Parking (street clean),,0830A,1000A,,,,
5602565012,KMT1509,NY,PAS,2023-07-07T00:00:00.000,12,SUBN,VOLVO,V,0,0,0,0,,0,0,0,,,0331P,,,,EB E 149th St @ Broo,0,1111,C,,BL,2011,0,,MOBILE BUS LANE VIOLATION,k Ave,,,,,T,
9066980394,KDR9117,NY,PAS,2023-07-14T00:00:00.000,71,SUBN,AUDI,T,24690,36230,36250,20240716,28,28,28,368543,T103,L,0413P,NY,F,274,Lenox Ave,0,408,J6,YYYYYYY,GY,2011,0,,71A-Insp Sticker Expired (NYS),,,,,,,
9062528752,KWK9025,NY,PAS,2023-07-21T00:00:00.000,71,SUBN,DODGE,T,65320,26550,8020,20240605,41,41,41,362271,T201,A,1213P,BX,F,985,Southern Blvd,0,408,J6,YYYYYYY,GY,2021,0,1,71A-Insp Sticker Expired (NYS),,,,,,,
5128741497,KSZ2140,NY,PAS,2023-07-07T00:00:00.000,7,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,0758P,BX,,,PELHAM PKWY (E/B) @,0,1111,D,,WH,2016,0,,FAILURE TO STOP AT RED LIGHT,BOSTON RD,,,,,T,
9066254014,LAH5154,NY,PAS,2023-07-23T00:00:00.000,74,4DSD,INFIN,T,34230,93250,42730,20250309,84,84,84,376928,T301,Q,0245P,K,F,258,Duffield St,0,408,J2,YYYYYYY,GY,2015,0,3,74A-Improperly Displayed Plate,,,,,,,
4851196866,HPC2096,NY,PAS,2023-07-12T00:00:00.000,36,SUBN,BMW,V,0,0,0,0,,0,0,0,,,1043P,QN,,,WB HORACE HARDING EX,0,1180,B,,GY,2023,0,,PHTO SCHOOL ZN SPEED VIOLATION,PWY @ 215TH ST,,,,,T,
4853102334,JNM6593,NY,PAS,2023-07-21T00:00:00.000,36,4DSD,CHEVR,V,0,0,0,0,,0,0,0,,,1212P,MN,,,SB FDR DR @ E HOUSTO,0,1180,B,,GY,2016,0,,PHTO SCHOOL ZN SPEED VIOLATION,N ST,,,,,T,
1493158170,LZD9741,PA,PAS,2023-07-03T00:00:00.000,14,SDN,ME/BE,P,8820,74690,76650,0,52,52,52,975691,0052,0000,0655P,BX,F,2335,ANDREWS AVE N,20230703,408,F1,BBBBBBB,SIL,0,0,,,,ALL,ALL,0,-,,0655P
4848719252,H94MRB,NJ,PAS,2023-06-29T00:00:00.000,36,UT,ME/BE,V,0,0,0,0,,0,0,0,,,0654A,BX,,,WB CROSS BRONX EXPWY,0,1180,B,,,2019,0,,PHTO SCHOOL ZN SPEED VIOLATION,@ WOOD AVE,,,,,T,
8722044085,HRE8233,NY,PAS,2023-07-24T00:00:00.000,71,4DSD,KIA,T,31430,0,0,20230430,101,101,101,362614,T402,P,0419P,Q,I,E,Beach 56th Pl,0,408,J6,YYYYYYY,GY,2013,0,,71A-Insp Sticker Expired (NYS),80ft S/of Rockaway B,,,,,,
4849384810,KJX4378,NY,PAS,2023-07-02T00:00:00.000,36,4DSD,INFIN,V,0,0,0,0,,0,0,0,,,0336P,QN,,,SB CLEARVIEW EXPWY S,0,1180,B,,GY,2012,0,,PHTO SCHOOL ZN SPEED VIOLATION,VC RD @ 204TH ST,,,,,T,
4852855481,LCC7776,NY,PAS,2023-07-19T00:00:00.000,36,4DSD,KIA,V,0,0,0,0,,0,0,0,,,0536A,QN,,,EB ASTORIA BLVD @ 11,0,1180,B,,GY,2023,0,,PHTO SCHOOL ZN SPEED VIOLATION,0TH ST,,,,,T,
4852671310,GKZ5202,NY,PAS,2023-07-19T00:00:00.000,36,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,1151A,QN,,,WB N CONDUIT AVE @ 8,0,1180,B,,WH,2013,0,,PHTO SCHOOL ZN SPEED VIOLATION,8TH ST,,,,,T,
4853206735,KGW9553,NY,PAS,2023-07-21T00:00:00.000,36,CONV,ME/BE,V,0,0,0,0,,0,0,0,,,1015P,BX,,,WB BRUCKNER BLVD @ W,0,1180,B,,BL,2016,0,,PHTO SCHOOL ZN SPEED VIOLATION,HITE PLAINS RD,,,,,T,
4848307818,JHV6554,NY,PAS,2023-06-27T00:00:00.000,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0203P,BK,,,EB CLARENDON RD @ E,0,1180,B,,GY,2013,0,,PHTO SCHOOL ZN SPEED VIOLATION,46TH ST,,,,,T,
2012557820,KZV2193,NY,PAS,2023-07-18T00:00:00.000,21,SUBN,NISSA,S,9030,6880,32600,20241129,66,66,0,529560,KS12,,0853A,Kings,F,1877,49 STREET,0,408,d1,Y,TN,2023,0,,No Parking Street Cleaning,,0830A,1000A,,,,00000
2012709448,LTA3729,PA,PAS,2023-07-20T00:00:00.000,21,SUBN,HONDA,S,40030,25230,31530,0,83,83,0,620307,KN04,,0955A,Kings,F,284,EVERGREEN AVENUE,0,408,d1,Y  Y,GY,0,0,,No Parking Street Cleaning,,0900A,1030A,,,,00000
2012934262,LNMR77,FL,PAS,2023-07-20T00:00:00.000,21,4DSD,NISSA,S,19070,24890,10210,0,23,23,0,635826,MN11,,1221P,NY,O,160,EAST 105 STREET,0,408,d1,Y  Y,GY,0,0,,No Parking Street Cleaning,,1130A,0100P,,,,00000
4852875390,MFE9667,PA,PAS,2023-07-19T00:00:00.000,36,SDN,ROVER,V,0,0,0,0,,0,0,0,,,1111A,QN,,,WB N CONDUIT AVE @ 8,0,1180,B,,,2017,0,,PHTO SCHOOL ZN SPEED VIOLATION,8TH ST,,,,,T,
1490828400,KZH8042,NY,PAS,2023-07-04T00:00:00.000,14,SDN,TOYOT,P,67530,68530,39720,20250409,61,61,61,938740,0061,0000,1115A,K,O,4278,OCEAN AVE,0,408,C,BBBBBBB,BK,2006,0,,,,ALL,ALL,0,-,,
9067896202,JJL2246,NY,PAS,2023-07-24T00:00:00.000,21,SUBN,NISSA,T,36010,0,0,20250606,28,28,28,374596,T103,GG,1136A,NY,I,N,W 112th St,0,408,D1,Y  Y,GY,2021,0,26,21-No Parking (street clean),100ft W/of 5th Ave,1130A,0100P,,,,
4853216376,KYM8406,NY,PAS,2023-07-22T00:00:00.000,36,SUBN,AUDI,V,0,0,0,0,,0,0,0,,,0115A,QN,,,EB WHITESTONE EXPWY,0,1180,B,,BK,2019,0,,PHTO SCHOOL ZN SPEED VIOLATION,@ FARRINGTON ST,,,,,T,
4851666482,KNE1557,PA,PAS,2023-07-12T00:00:00.000,36,,NISSA,V,0,0,0,0,,0,0,0,,,0328P,BX,,,NB BAILEY AVE @ W 19,0,1180,B,,,0,0,,PHTO SCHOOL ZN SPEED VIOLATION,3RD ST,,,,,T,
4851961005,KUT3753,NY,PAS,2023-07-12T00:00:00.000,36,SUBN,SUBAR,V,0,0,0,0,,0,0,0,,,1246P,QN,,,WB N CONDUIT AVE @ 8,0,1180,B,,GY,2021,0,,PHTO SCHOOL ZN SPEED VIOLATION,8TH ST,,,,,T,
9064908424,KHD9612,NY,PAS,2023-07-19T00:00:00.000,16,4DSD,NISSA,T,66630,18630,34130,20250307,94,94,94,356970,T301,A,1149A,K,F,168,N 10th St,0,408,K2,YYYYYYY,GY,2009,0,17,16A-No Std (Com Veh) Non-COM,,,,,,,
1491817630,KYX5448,NY,PAS,2023-06-24T00:00:00.000,19,SUBN,CHEVR,P,64290,8440,8590,20240930,114,114,114,975352,0114,0000,0346A,Q,O,34-01,STEINWAY ST,0,408,C3,BBBBBBB,BLK,2016,0,,,,ALL,ALL,0,-,,
4853783842,KFS8571,NY,PAS,2023-07-23T00:00:00.000,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0319P,QN,,,WB ATLANTIC AVE @ 11,0,1180,B,,WH,2017,0,,PHTO SCHOOL ZN SPEED VIOLATION,2TH ST,,,,,T,
4852464340,KWX8047,NY,PAS,2023-07-18T00:00:00.000,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0218A,MN,,,NB DYCKMAN ST @ NAGL,0,1180,B,,GY,2010,0,,PHTO SCHOOL ZN SPEED VIOLATION,E AVE,,,,,T,
9067321126,MZ372,RI,PAS,2023-07-17T00:00:00.000,21,SUBN,NISSA,T,89730,42730,13430,20231088,88,88,88,368610,T301,Q,1207P,K,O,582,Washington Ave,0,408,D1,Y,WHITE,0,0,19,21-No Parking (street clean),,1130A,0100P,,,,
9063108783,JBN7235,NY,PAS,2023-07-17T00:00:00.000,37,SUBN,KIA,T,68020,26280,26310,20250226,40,40,40,368466,T201,Q,0135P,BX,F,3007,3rd Ave,0,408,H1,YYYYYY,GY,2011,0,30,37-Expired Parking Meter,,0800A,0700P,,219560,,1259P
9065469850,KZV5497,NY,PAS,2023-07-24T00:00:00.000,21,4DSD,BMW,T,64290,7790,7990,20250128,114,114,114,356513,T401,I,0750A,Q,F,30-29,Steinway St,0,408,D1,YYYYYY,BK,2015,0,,21-No Parking (street clean),,0730A,0800A,,,,
9061641895,KTT6126,NY,PAS,2023-07-22T00:00:00.000,14,CONV,AUDI,T,34530,10810,10910,20240117,14,14,14,367945,T106,O,0531P,NY,F,320,W 38th St,0,408,C,YYYYYYY,GY,2022,0,29,14-No Standing,,,,,,,
9065596082,HPW4068,NY,PAS,2023-07-16T00:00:00.000,70,4DSD,AUDI,T,10010,31090,17170,20230531,9,9,9,367948,T102,K,1005A,NY,F,137,1st Ave,0,408,J3,YYYYYYY,BLACK,2006,0,9,70A-Reg. Sticker Expired (NYS),,,,,,,
4849359887,JEY1250,NY,PAS,2023-07-01T00:00:00.000,36,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,1002P,BK,,,SB ROCKAWAY PKWY @ S,0,1180,B,,BK,2019,0,,PHTO SCHOOL ZN SPEED VIOLATION,CHENCK ST,,,,,T,
4853040560,KRN9846,NY,PAS,2023-07-20T00:00:00.000,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0718P,BK,,,SB PROSPECT PARK SOU,0,1180,B,,GY,2021,0,,PHTO SCHOOL ZN SPEED VIOLATION,THWEST @ WINDSOR PL,,,,,T,
4853755690,JRV6610,NY,PAS,2023-07-22T00:00:00.000,36,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,1041P,BK,,,NB MEEKER AVE @ LORI,0,1180,B,,GY,2020,0,,PHTO SCHOOL ZN SPEED VIOLATION,MER ST,,,,,T,
5128201594,LCV8962,NY,OMS,2023-06-14T00:00:00.000,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1026A,BK,,,PENNSYLVANIA AVE (S/,0,1111,D,,GY,2021,0,,FAILURE TO STOP AT RED LIGHT,B) @ LINDEN BLVD,,,,,T,
4853738903,KSA9807,NY,PAS,2023-07-22T00:00:00.000,36,SUBN,MITSU,V,0,0,0,0,,0,0,0,,,0533P,MN,,,NB WEST ST @ LEROY S,0,1180,B,,GY,2003,0,,PHTO SCHOOL ZN SPEED VIOLATION,T,,,,,T,
9065331979,KJW4946,NY,PAS,2023-07-17T00:00:00.000,38,SUBN,NISSA,T,18520,76950,47720,20250113,43,43,43,373188,T201,Q,0207P,BX,F,1309,Castle Hill Ave,0,408,H1,YYYYYY,BK,2018,0,1,38-Failure to Dsplay Meter Rec,,0800A,0700P,,218115,,
8913278583,JKW7192,NY,PAS,2023-07-24T00:00:00.000,31,SUBN,BMW,T,17610,27800,24890,20231229,14,14,14,373181,T102,R,0106P,NY,F,117,E 31st St,0,408,L3,YYYYY,BK,2023,0,18,31-No Stand (Com. Mtr. Zone),,0800A,0600P,,,,
4853045089,JHQ9728,OH,PAS,2023-07-20T00:00:00.000,36,4S,NISSA,V,0,0,0,0,,0,0,0,,,0801P,ST,,,SB STEUBEN ST @ HYLA,0,1180,B,,SILVE,2021,0,,PHTO SCHOOL ZN SPEED VIOLATION,N BLVD,,,,,T,
9056618260,JKA3259,NY,PAS,2023-06-28T00:00:00.000,70,SUBN,ACURA,T,0,0,0,20230625,43,43,43,373136,T201,W,1138A,BX,I,W,Wood Ave,0,408,J3,YYYYYYY,WH,2012,0,3,70A-Reg. Sticker Expired (NYS),50ft N/of Thieriot A,,,,,,
4852688710,JRP5113,NY,PAS,2023-07-19T00:00:00.000,36,SUBN,SUBAR,V,0,0,0,0,,0,0,0,,,0520P,QN,,,SB COMMONWEALTH BLVD,0,1180,B,,GY,2011,0,,PHTO SCHOOL ZN SPEED VIOLATION,@ 246TH ST,,,,,T,
9061029090,KSS3406,NY,PAS,2023-07-05T00:00:00.000,74,SUBN,ME/BE,T,23640,0,0,20231029,103,103,103,363517,T402,B,0718A,Q,I,W,Grace Ct,0,408,J2,YYYYYYY,TN,2005,0,18,74-Missing Display Plate,65ft S/of 90th Ave,,,,,,
4853380942,LCS1580,NY,PAS,2023-07-23T00:00:00.000,36,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0528P,BK,,,SB RALPH AVE @ BEVER,0,1180,B,,BK,2011,0,,PHTO SCHOOL ZN SPEED VIOLATION,LEY RD,,,,,T,
4853183206,LEEWAY1,NY,SRF,2023-07-20T00:00:00.000,36,CONV,ME/BE,V,0,0,0,0,,0,0,0,,,0808P,BK,,,SB ROCKAWAY PKWY @ S,0,1180,B,,WH,2017,0,,PHTO SCHOOL ZN SPEED VIOLATION,CHENCK ST,,,,,T,
4852480321,KXU1588,NY,PAS,2023-07-15T00:00:00.000,36,SUBN,TESLA,V,0,0,0,0,,0,0,0,,,0609P,BK,,,SB CYPRESS HILLS ST,0,1180,B,,BK,2022,0,,PHTO SCHOOL ZN SPEED VIOLATION,@ JAMAICA AVE,,,,,T,
9066634479,KRA5332,NY,PAS,2023-07-20T00:00:00.000,70,SUBN,GMC,T,68930,75130,50830,20230701,73,73,73,362524,T802,A,0211A,K,F,2153,Pacific St,0,408,J3,YYYYYYY,GY,2018,0,,70A-Reg. Sticker Expired (NYS),,,,,,,
9065119206,KVT3493,NY,999,2023-07-15T00:00:00.000,74,4DSD,ME/BE,T,0,0,0,88888888,42,42,42,371731,T201,O,0556A,BX,I,N,St Paul Ave,0,408,J2,YYYYYYY,GREY,0,0,48,74-Missing Display Plate,40ft W/of Washington,,,,,,
9049356758,KJJ5215,NY,PAS,2023-07-18T00:00:00.000,21,4DSD,VOLKS,T,29690,0,0,20250210,26,26,26,373097,T103,C,1125A,NY,I,E,Riverside Dr,0,408,D1,Y  Y,LTG,2022,0,48,21-No Parking (street clean),25ft S/of W 112th St,1100A,1230A,,,,
1487378701,JPE6563,NY,PAS,2023-07-07T00:00:00.000,71,SDN,NISSA,P,19530,10410,25390,20240225,25,25,20,974193,0020,0000,1124P,NY,F,15,E 129 ST,0,408,E2,BBBBBBB,WHT,2011,0,,,,ALL,ALL,0,-,,
4852687717,KLV3715,NY,PAS,2023-07-19T00:00:00.000,36,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0459P,QN,,,WB N CONDUIT AVE @ 8,0,1180,B,,BK,2021,0,,PHTO SCHOOL ZN SPEED VIOLATION,8TH ST,,,,,T,
9061764178,LBK6599,NY,PAS,2023-07-01T00:00:00.000,38,SUBN,FORD,T,54050,90780,90730,20250329,62,62,62,370299,T302,D,1217P,K,F,316,Kings Hwy,0,408,H1,YYYYYY,BK,2020,0,3,38-Failure to Dsplay Meter Rec,,0800A,0700P,,318213,,
4848697438,J61RUJ,NJ,PAS,2023-06-29T00:00:00.000,36,UT,HYUND,V,0,0,0,0,,0,0,0,,,0108A,MN,,,SB COLUMBUS AVE @ W,0,1180,B,,,2010,0,,PHTO SCHOOL ZN SPEED VIOLATION,62ND ST,,,,,T,
4853921680,KXC7285,NY,PAS,2023-07-23T00:00:00.000,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1016A,BX,,,NB GRAND CONCOURSE @,0,1180,B,,GY,2020,0,,PHTO SCHOOL ZN SPEED VIOLATION,E 188TH ST,,,,,T,
5128860980,LCG3119,NY,PAS,2023-07-13T00:00:00.000,7,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0129P,QN,,,BEACH CHANNEL DR (W/,0,1111,D,,WH,2023,0,,FAILURE TO STOP AT RED LIGHT,B) @ B 140TH ST,,,,,T,
9059469033,KEN1575,NY,PAS,2023-07-18T00:00:00.000,21,SUBN,HONDA,T,35830,44990,29690,20240921,24,24,24,354070,T103,CC,0951A,NY,O,319,W 103rd St,0,408,D1,Y  Y,GY,2019,0,54,21-No Parking (street clean),,0930A,1100A,,,,
4852384575,KJN8668,NY,PAS,2023-07-17T00:00:00.000,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0937A,BK,,,SB OCEAN PKWY @ OCEA,0,1180,B,,WH,2021,0,,PHTO SCHOOL ZN SPEED VIOLATION,N CT,,,,,T,
4852432284,HGX8096,NY,PAS,2023-07-17T00:00:00.000,36,4DSD,CADIL,V,0,0,0,0,,0,0,0,,,0458P,QN,,,SB COMMONWEALTH BLVD,0,1180,B,,BK,2023,0,,PHTO SCHOOL ZN SPEED VIOLATION,@ 246TH ST,,,,,T,
9065811552,J32FEJ,NJ,PAS,2023-07-14T00:00:00.000,21,4DSD,VOLKS,T,8740,7790,7990,88888888,114,114,114,366563,T401,C,0845A,Q,F,30-87,36th St,0,408,D1,Y,BLUE,0,0,,21-No Parking (street clean),,0800A,1000A,,,,
8722044139,JFX2573,NY,PAS,2023-07-24T00:00:00.000,70,SUBN,NISSA,T,61640,0,0,20230213,101,101,101,362614,T402,P,0449P,Q,I,S,Seagirt Ave,0,408,J3,YYYYYYY,GY,2016,0,,70A-Reg. Sticker Expired (NYS),150ft W/of Beach 9th,,,,,,
9065452370,KPY5820,NY,PAS,2023-07-14T00:00:00.000,37,4DSD,NISSA,T,64290,7790,7990,20230709,112,112,112,357787,T401,H,1227P,Q,F,30-75,Steinway St,0,408,H1,YYYYYY,GY,2014,0,,37-Expired Parking Meter,,0800A,0700P,,426283,,1211P
8663499930,KSM3962,NY,PAS,2023-07-02T00:00:00.000,40,SUBN,TOYOT,T,61490,43490,12790,20231012,112,112,112,376954,T402,T,0108P,Q,F,61-25,Saunders St,0,408,E2,YYYYYYY,GY,2012,0,3,40-Fire Hydrant,,,,,,,
4851247643,JNJ9269,NY,OMS,2023-07-08T00:00:00.000,36,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0655P,QN,,,NB QUEENS BLVD @ 87T,0,1180,B,,BK,2019,0,,PHTO SCHOOL ZN SPEED VIOLATION,H AVE,,,,,T,
9061049404,KSC6009,NY,PAS,2023-07-05T00:00:00.000,14,SUBN,CHEVR,T,20640,0,0,20230922,102,102,102,367425,T402,L,0607A,Q,I,E,113th St,0,408,C,YYYYYYY,GY,2010,0,,14-No Standing,5ft S/of 89th Ave,,,,,,
1490250396,JAR03,NY,PAS,2023-07-03T00:00:00.000,19,SDN,JEEP,P,55590,27094,27096,20240530,105,105,105,975023,0105,0000,0739P,Q,F,229-15,MERRICK BLVD,20230703,408,E5,BBBBBBB,GRY,2022,0,,,,ALL,ALL,0,-,,0735P
4853342400,KZL6301,NY,PAS,2023-07-23T00:00:00.000,36,SUBN,GMC,V,0,0,0,0,,0,0,0,,,0931A,QN,,,WB N CONDUIT AVE @ 8,0,1180,B,,BK,2015,0,,PHTO SCHOOL ZN SPEED VIOLATION,8TH ST,,,,,T,
4853012308,HRD6493,NY,PAS,2023-07-20T00:00:00.000,36,SUBN,LEXUS,V,0,40404,40404,0,,0,0,0,,,0316P,ST,,,SB BAY ST @ SWAN ST,0,1180,B,,BK,2018,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,,,T,
